ObjectID;Product (EN);Studio;Vitrine;Position;Product (NL);Brand;Model/Type;Colour;Colour 2;Designer;Year;Era;Country;Technische Beschrijving;Location (studio-vitrine-product);Origin;Photo;Conditie;Opslag (asbest etc.);Value;Drawing Topics
DDP-0001;Card index;1;1;1;Kaartenbak;Rolodex;NSW-24C;Grey;;Unknown;1980;Late Modern;U.S.A.;A classic 1970s/80s rotary swivel card file designed for desktop contact organization, including A-Z alphabetical dividers. It is known for its durable, covered design that keeps cards secure and dust-free.;1-1-1;JanWillem Hoftijzer ;Picture;Goed;;€ 25;"Cylindrical Shapes;  Matt Surfaces; Transparent Materials"
DDP-0002;Typewriter;1;1;2;Typemachine  ;IBM;Selectric Composer;Grey;;Bruno Ninaber van Eyden;1975;Late Modern;Netherlands;In 1970, the IBM Selectric Composer represented the pinnacle of office typesetting technology, bridging the gap between standard typewriters and professional printing. Unlike the standard IBM Selectric models used for daily correspondence, the Composer was a specialized machine designed for 'cold type' publishing of books, newsletters, and manuals.;1-1-2;Unknown;;Goed;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0003;Transport case;1;1;3;Transportkoffer;Unknown;;Black;;Unknown;;Pre-1950;Unknown;Transport cases are specialized containers designed to protect fragile or high-value equipment during shipping and handling. Unlike standard suitcases, they typically feature internal structures like custom foam or dividers to secure items and are often built to withstand extreme conditions, including water, dust, and heavy impacts.;1-1-3;Unknown;Picture;Redelijk;;;"Block Shapes; Multiple Rounding; Matt Surfaces"
DDP-0004;Typewriter with lid;1;1;4;Typemachine met deksel;Olympia;Progress;Black;;Johannes Kruger;1935;Pre-1950;Germany;"The Olympia Progress is a classic mechanical portable typewriter, produced by the German manufacturer Olympia-Werke between 1934 and 1948. The model is known for its robust ""German reliability"" and was often supplied with a distinctive wooden or metal case for transport.";1-1-4;Unknown;Picture;Redelijk;;€ 350;"Singular Rounding; Glossy Surfaces"
DDP-0005;Calculator;1;1;5;Rekenmachine;Odhner;H9S6;Grey;;Willgodt Theophil Odhner;1960;Mid-Century Modern;Sweden;A 1960s hand-cranked (non-electric) calculator, based on the original pinwheel mechanism invented by Willgodt Theophil Odhner (often referred to as Vilgot Udner in Swedish contexts).;1-1-5;Unknown;Picture;Goed;;€ 150;"Block Shapes; Multiple Rounding; Glossy Surfaces"
DDP-0006;Hole punch;1;1;6;Perforator;Multio;;Black;;Unknown;1980;Late Modern;England;"These type of vintage hole punches emody the  principles of industrial functionalism and ""Buy It For Life"" philosophy. The tool's beauty comes directly from its utility, and it's: practically indestructible.";1-1-6;Unknown;Picture;Goed;;;"Multiple Rounding; Glossy Surfaces"
DDP-0007;Hole punch;1;1;6;Perforator;E.J. Arnold (EA);;Grey;;Unknown;1955;Mid-Century Modern;Unknown;A robust, metal hole punch with a classic grey finish, typical of office supplies from the mid-20th century (1940s to 1960s).;1-1-6;Unknown;Picture;Redelijk;;;"Multiple Rounding; Glossy Surfaces"
DDP-0008;FM stereo receiver and amplifier;1;1;7;FM-Stereo-ontvanger en versterker;Bang & Olufsen;Beomaster 1900;Wood;;Jacob Jensen;1976;Late Modern;Denmark;Won the ID Award in 1976 due to the groundbreaking design at the time. Displayed in the MoMa in New York.;1-1-7;Unknown;Picture;Goed;;€ 200;"Block Shapes; Matt Surfaces"
DDP-0009;Typewriter;1;1;8;Typemachine;Olivetti;Lettera 22;Blue;;Marcello Nizzoli;1955;Mid-Century Modern;Italy;Iconic design from the 50s;1-1-8;Unknown;Picture;Goed;;;"Multiple Rounding; Glossy Surfaces"
DDP-0010;Typewriter with case;1;1;9;Typemachine met koffer;Remington;Sperry Idol;Red;;Unknown;1980;Late Modern;Netherlands;"This vintage Sperry Remington Idol was known as a compact ""student"" portable typewriter. On this type of machine, the number key '1' is often missing, being replaced by the small 'l'.";1-1-9;Unknown;Picture;Goed;;€ 150;"Block Shapes; Singular Rounding; Glossy Surfaces"
DDP-0011;Typewriter with case;1;1;10;Typemachine met koffer;Adler;Triumph Gabriele 2000;Orange;;Unknown;1972;Late Modern;West Germany;The Triumph-Adler Gabriele 2000 is a classic portable electric typewriter known for its bold 1970s orange color and West German engineering. Produced following Litton Industries' acquisition of both the Triumph and Adler brands, this model was sold interchangeably under both names. ;1-1-10;Unknown;Picture;Goed;;€ 450;"Block Shapes; Matt Surfaces"
DDP-0012;Typewriter with case;1;2;1;Typemachine met koffer;Olympia;SM9;White;;Unknown;1964;Mid-Century Modern;Germany;;1-2-1;;;;;;"Block Shapes; Matt Surfaces"
DDP-0013;Typewriter with lid;1;2;2;Typemachine met deksel;Remington;Streamliner (Sperry Rand);Blue;;Carl Sundberg;1965;Mid-Century Modern;Netherlands;;1-2-2;;;;;;"Single Roundings; Glossy Surfaces"
DDP-0014;Typewriter with case;1;2;3;Typemachine met koffer;Olivetti;Lettera DL;Black;;Sottsass;1966;Mid-Century Modern;Italy;;1-2-3;;;;;;"Single Roundings; Matt Surfaces"
DDP-0015;Typewriter;1;2;3;Typemachine;Brother;AX 110;White;;Unknown;1987;Late Modern;Germany;;1-2-3;;;;;;"Block Shapes; Cylindrical Shapes; Matt Surfaces; Transparent Materials"
DDP-0016;Typewriter;1;2;5;Typemachine;Canon;Typestar 220;Black;;Unknown;1994;Postmodern;Japan;;1-2-5;;;;;;"Block Shapes; Cylindrical Shapes; Matt Surfaces"
DDP-0017;Typewriter;1;2;6;Typemachine;Underwood;Similar to Champion or Finger Flite;;;Unknown;1940;Pre-1950;U.S.A.;;1-2-6;;;;;;"Single Roundings; Multiple Roundings; Matt Surfaces"
DDP-0018;Typewriter with case, manual and cartriges;1;2;8;Typemachine met koffer, handleiding en cartriges;Smith Corona;C420;Brown;;Unknown;1980;Late Modern;U.S.A.;;1-2-8;;;;;;"Block Shapes; Matt Surfaces"
DDP-0019;Calculator with paper;1;3;1;Rekenmachine met papier;Olivetti;logos 48;Grey;;Mario Bellini;1975;Late Modern;Italy;;1-3-1;;;;;;"Block Shapes; Matt Surfaces; Transparent Materials"
DDP-0020;Calculator;1;3;1;Rekenmachine;Albona;;Black;;Unknown;1945;Pre-1950;Italy;;1-3-1;;;;;€ 100;"Block Shapes; Cylindrical Shapes; Singular Rounding; Glossy Surfaces"
DDP-0021;Keyboard;1;3;2;Toetsenbord;Olivetti;M24 Personal computer;Grey;;Unknown;1986;Late Modern;Italy;;1-3-2;;;;;;"Block Shapes; Matt Surfaces"
DDP-0022;Typewriter;1;3;3;Typemachine;Olivetti;Prestige P22-D;Grey;;Unknown;1990;Postmodern;Italy;;1-3-3;;;;;;"Single Roundings; Multiple Roundings; Glossy Surfaces"
DDP-0023;Electromechanical Counting Machine;1;3;4;Elektromechanische telmachine;Addo;X;Grey;;Unknown;1960;Mid-Century Modern;England;;1-3-4;;;;;;"Block Shapes; Multiple Rounding; Glossy Surfaces"
DDP-0024;Pencil sharpener;1;3;5;Puntenslijper;Boston;KS Standard;Black;;Unknown;1970;Late Modern;U.S.A.;;1-3-5;;;;;;"Cylindrical Shapes;  Multiple Roundings; Chrome; Glossy Materials"
DDP-0025;Pencil sharpener;1;3;5;Puntenslijper;Boston;KS Standard;Black;;Unknown;1970;Late Modern;U.S.A.;;1-3-5;;;;;;"Cylindrical Shapes;  Multiple Roundings; Chrome; Glossy Materials"
DDP-0026;Electronic Typewriter;1;3;6;Elektronische Typemachine;Brother ;AX 15;Crème;;Unknown;1987;Late Modern;Japan;;1-3-6;;;;;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Matt Surfaces"
DDP-0027;Typewriter;1;3;7;Typemachine;Olympia;Splendid 33;Black;;Unknown;1960;Mid-Century Modern;Germany;;1-3-7;;;;;;"Multiple Rounding; Glossy Surfaces"
DDP-0028;Typewriter;1;3;8;Typemachine;Remington Rand;;Black;;Unknown;1940;Pre-1950;Netherlands;;1-3-8;;;;;;"Multiple Rounding; Glossy Surfaces"
DDP-0029;Mechanical calculator;1;4;1;Mechanische rekenmachine;Corona;Adding;Black;;Unknown;1930;Pre-1950;Germany;Portable ;1-4-1;;;;;;"Block Shapes; Multiple Rounding; Glossy Surfaces"
DDP-0030;Mechanical calculator;1;4;2;Mechanische rekenmachine;Aldo Bona;;Black;;Unknown;1935;Pre-1950;Italy;;1-4-2;;;;;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Matt Surfaces"
DDP-0031;Calculator;1;4;3;Rekenmachine;Remington;1213;Crème;;Unknown;1970;Late Modern;Germany;;1-4-3;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces; Glossy Surfaces"
DDP-0032;Calculator with printer;1;4;4;Rekenmachine met printer;Canon;P4-D;Crème;;Unknown;1980;Late Modern;Japan;;1-4-4;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces; Glossy Surfaces"
DDP-0033;Calculator;1;4;4;Rekenmachine;Texas Instruments;TI-5200;Brown;;Unknown;1977;Late Modern;U.S.A.;;1-4-4;;;;;;"Block Shapes; Matt Surfaces; Glossy Surfaces"
DDP-0034;FM stereo receiver and amplifier;1;4;4;FM-Stereo-ontvanger en versterker;Bang & Olufsen;Beomaster 901;Wood;;Jacob Jensen;1975;Late Modern;Denmark;;1-4-4;;;;;;"Block Shapes; Matt Surfaces; Chrome"
DDP-0035;Calculator;1;4;5;Rekenmachine;ABS;Murphy;Silver;;Unknown;2010;Digital Era;Unknown;Dual power. Functions both on barrery and solar power;1-4-5;;;;;;"Block Shapes; Matt Surfaces"
DDP-0036;Number Locator;1;4;5;Nummerzoeker;Albert Heijn;;Blue;;Unknown;1995;Postmodern;Netherlands;;1-4-5;;;;;;
DDP-0037;Pocket calculator;1;4;5;Zakrekenmachine ;PTT Telecom;Numculator;Green;;Unknown;1995;Postmodern;Netherlands;Numculator;1-4-5;;;;;;"Block Shapes; Multiple Rounding; Matt Surfaces"
DDP-0038;Pocket calculator;1;4;5;Zakrekenmachine ;Unknown;;Grey;;Unknown;1980;Late Modern;China;;1-4-5;;;;;;
DDP-0039;Calculator;1;4;5;Rekenmachine;Texet;B82;Multi;;Unknown;1990;Postmodern;U.S.A.;;1-4-5;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0040;Calculator;1;4;5;Rekenmachine;Texas Instruments;SR-50A;Black;;Michael J. Cochran;1975;Late Modern;U.S.A.;;1-4-5;;;;;;"Block Shapes; Matt Surfaces"
DDP-0041;Calculator;1;4;5;Rekenmachine;Casio;Fx-82 SUPER FRACTION;Black;;Unknown;1994;Postmodern;Japan;;1-4-5;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0042;Calculator;1;4;6;Rekenmachine;Texas Instruments;ti-1250;Grey;;Unknown;1975;Late Modern;U.S.A.;;1-4-6;;;;;;"Block Shapes; Matt Surfaces"
DDP-0043;Calculator with case;1;4;6;Rekenmachine met hoesje;Sinclair;Cambridge Programmable;White;;Unknown;1977;Late Modern;England;Rare programmable scientific calculator from to '70s, Seen as collectors item due to historical meanig in early electronics.;1-4-6;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces; Glossy Surfaces"
DDP-0044;Calculator;1;4;6;Rekenmachine;Texas Instruments;TI-30 galaxy;Grey;;Unknown;1984;Late Modern;U.S.A.;"Has a ""constant memory"" and LCD-display.";1-4-6;;;;;;"Block Shapes; Matt Surfaces"
DDP-0045;Telechipper;1;4;3;Telechipper;PTT Telecom;TeleChipper;Yellow;;Unknown;1996;Postmodern;Netherlands;"Early 'electronic wallet'. The device was used to recharge your debit card; check your balance and/or save phone numbers.";1-4-3;;;;;;
DDP-0046;Calculator with printer;1;4;6;Rekenmachine met printer;Casio;HR-100HT;Black;;Unknown;1986;Late Modern;Japan;;1-4-6;;;;;;"Block Shapes; Matt Surfaces"
DDP-0047;Language guide and translator with case;1;4;6;Taalgids en vertaler met hoesje;Craig;M100;Black;;Ron Gordon;1979;Late Modern;U.S.A.;;1-4-6;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0048;Calculator with printer;1;4;6;Rekenmachine met printer;Casio;HR-9;Crème;;Unknown;1980;Late Modern;Japan;;1-4-6;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0049;Pocket calculator;1;4;6;Zakrekenmachine ;Aurora;HC127;Black;;Unknown;1999;Postmodern;China;Branded with dupont logo (French brand) probably as gift item.;1-4-6;;;;;;"Block Shapes; Multiple Rounding; Matt Surfaces"
DDP-0050;Desktop calculator;1;4;6;Bureaurekenmachine;Unknown;;Black;;Unknown;1992;Postmodern;Unknown;;1-4-6;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0051;Typewriter with separate type elements;1;4;7;Typemachine met losse type-elementen;IBM;Selectric II;Red;;Unknown;1978;Late Modern;China;"Electric typewriter know for the usage of an interchangeable spherical type element (""the golf ball"")";1-4-7;;;;;;"Singular Rounding; Multiple Rounding; Matt Surfaces; Chrome"
DDP-0052;Typewriter Carrying Bag;1;4;8;Draagtas van typemachine;Olivetti;Lettera 32;Blue;;Marcello Nizzoli;1963;Mid-Century Modern;Italy;Nizolli's design for this carry-on typewriter + case was valued globally due to it's compact and stylish nature.;1-4-8;;;;;;
DDP-0053;Cheque writer (protectograph);1;5;1;Cheque schrijver (protectograph);Todd;Model 1700;Grey;;Unknown;1910;Pre-1950;U.S.A.;This object is a Todd Century Protectograph, a historic device used to protect checks against counterfeiting. The Protectograph was manufactured by the Todd Company of Rochester, New York.;1-5-1;;;;;;"Block Shapes; Singular Rounding; Multiple Rounding; Matt Surfaces"
DDP-0054;Hole punch;1;5;2;Perforator;Underwood;;Grey;;Unknown;1960;Mid-Century Modern;Netherlands;This item is a vintage, heavy industrial hole punch, also called a paper punch. The name plate shows that the object was in posession of the 'Technische Hogeschool Delft: De Orelio - Laboratorium voor werkplaatstechniek';1-5-2;;;;;;
DDP-0055;Pencil sharpener packaging;1;5;2;Puntenslijper verpakking;Boston;KS Standard;White;;Unknown;1970;Late Modern;U.S.A.;;1-5-2;;;;;;"Cylindrical Shapes; Glossy Surfaces; Chrome"
DDP-0056;Staple gun;1;5;2;Nietpistool;Skandia;;Silver;;Unknown;1976;Late Modern;West Germany;"This tool is a vintage Skandia hand tacker, also known as a staple gun. The markings on the tool indicate that it was manufactured in West Germany (""Made in W.-Germany"") and bear the article number 34 90 060.";1-5-2;;;;;;"Multiple Rounding; Chrome"
DDP-0057;Hole punch;1;5;2;Perforator;E.J. Arnold (EA);;Grey;;Unknown;1950;Mid-Century Modern;;This item is a vintage two-hole punch, a classic desk item likely dating from the 1940s, 1950s, or 1960s. They are typically made of heavy metal and have a durable construction.;1-5-2;;;;;;
DDP-0058;Electromechanical Counting Machine;1;5;3;Elektromechanische telmachine;Olympia;1182;White;;Unknown;1955;Mid-Century Modern;Germany;"This device is known for its industrial design with its characteristic red and green keys. It's a so-called ""printing calculator"" or adding machine, which prints calculations directly onto a roll of paper.";1-5-3;;;;;;"Multiple Rounding; Glossy Surfaces"
DDP-0059;Bag sealer;1;5;4;Zakkensluiter;Rapid;Phoenix;Green;;Unknown;1990;Postmodern;Sweden;This machine is a Phoenix bag closer, a widely used tool in various sectors for quickly and efficiently closing plastic bags.;1-5-4;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0060;USB hub;1;5;4;USB-hub;Apacer;PH150;Multi;;Unknown;2006;Digital Era;Taiwan;The Apacer PH150 is an innovative 4-port USB 2.0 hub: an iconic design known for its playful design with colorful rotating blocks.;1-5-4;;;;;;"Block Shapes; Multiple Rounding; Glossy Surfaces"
DDP-0061;Stapler;1;5;4;Nietmachine;Boss;;Grey;;Unknown;1958;Mid-Century Modern;U.S.A.;Classic industrial mid-century desk stapler from the Boss brand, probably from the 1950s or 1960s. Made of sturdy metal.;1-5-4;;;;;;
DDP-0062;Stapler;1;5;4;Nietmachine;SAX;80;Grey;;Unknown;1965;Mid-Century Modern;Austria;This is a vintage SAX 80 stapler, a classic office tool suitable for 24/6 and 26/6 staples. This Austrian brand is known for its reliability.;1-5-4;;;;;;"Multiple Rounding; Matt Surfaces; Chrome"
DDP-0063;Label maker;1;5;4;Labelmaker;Motex;E101;Orange;;Unknown;1975;Late Modern;U.S.A.;This is a manual Motex E101 embossing label maker, which allows you to print text in relief on plastic tape.;1-5-4;;;;;;"Cylindrical Shapes; Glossy Surfaces"
DDP-0064;Perfume bottle;1;5;4;Parfumflesje;Cacharel;Lou Lou;Blue;;Annegret Beier;1987;Late Modern;France;This is a bottle of the famous Lou Lou perfume from the French fashion house Cacharel. The perfume was created by Jean Guichard, with the bottle designed by Annejet Beier. This design was considered highly innovative in the 1980s and has remained unchanged ever since.;1-5-4;;;;;;"Block Shapes; Glossy Surfaces"
DDP-0065;Adhesive tape dispenser;1;5;4;Plakbanddispenser;Tesa;Easy Cut Curve;Black;;Unknown;2018;Digital Era;Germany;This Tesa tape dispenser has a weighted base with a non-slip sole, allowing you to operate it with one hand without it slipping. It's made of high-quality polystyrene (plastic).;1-5-4;;;;;;"Cylindrical Shapes; Single Rounding; Matt Surfaces"
DDP-0066;Calculator with paper;1;5;5;Rekenmachine met papier;Canon;BP25-D;Crème;;Unknown;1991;Postmodern;China;This is an electric Canon BP25-D desktop calculator with a built-in roll printer. The calculator features functions such as item counting, constant calculations, currency conversion, and a fluorescent tube display.;1-5-5;;;;;;"Block Shapes; Singular Rounding; Matt Surfaces"
DDP-0067;Mechanical calculator;1;5;6;Mechanische rekenmachine;NFI;3A;Black;;Unknown;1951;Mid-Century Modern;Germany;This vintage NFI 3A adding machine is a collector's item, characterized by a mechanical design with physical number keys and a lever for manual operation. The NFI Nuremberg-Fürther Industriewerke went into production in 1950.;1-5-6;;;;;;"Block Shapes; Cylindrical Shapes; Matt Surfaces"
DDP-0068;Promotional lighter;1;5;7;Promotionele aansteker;Unknown;;White;;Unknown;1998;Postmodern;China;"This is a collector's item, specifically a promotional roadside lighter that says ""CITY AND COUNTRY."" The product typically operates using a piezoelectric mechanism that produces a flame of approximately 1000°C.";1-5-7;;;;;;"Cylindrical Shapes; Singular Rounding; Glossy Surfaces; Chrome"
DDP-0069;Lighter;1;5;7;Aansteker;Corona;;Black;;Unknown;1980;Late Modern;Japan;This lighter is from the renowned Japanese brand IM Corona. This specific, slim, rectangular model, crafted from heavy metal and featuring vertical air intake slots, was primarily produced between the 1970s and 1990s.;1-5-7;;;;;;"Cylindrical Shapes; Singular Rounding; Glossy Surfaces; Chrome"
DDP-0070;Steam cleaner / suction brush;1;5;7;Stoomreiniger / zuigborstel;Stamp ELECTRIC;;Yellow;;Unknown;1965;Mid-Century Modern;USSR;This item is a vintage electric vacuum brush, a compact handheld vacuum cleaner that was mainly popular in the 1960s and 1970s for cleaning clothes, furniture and tablecloths.;1-5-7;;;;;;"Cylindrical Shapes; Matt Surfaces"
DDP-0071;Mechanical calculator;1;5;8;Mechanische rekenmachine;Rheinmetall;;Black;;Unknown;1940;Pre-1950;Germany;This is a vintage Rheinmetall stepped drum calculator. It features a full keyboard for entering numbers.;1-5-8;;;;;;"Block Shapes; Cylindrical Shapes; Matt Surfaces"
DDP-0072;Vacuum cleaner;1;6;1;Stofzuiger;Holland Electro (HE);HE 3000;White;;Unknown;1975;Late Modern;Netherlands;This particular model is a classic sled vacuum cleaner from the 1970s or 1980s. The design is characterized by its vertical construction and the distinctive controls on the bottom.;1-6-1;;;;;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Glossy Surfaces"
DDP-0073;Handheld vacuum cleaner;1;6;2;Handstofzuiger;Siemens;Rapid;White;;Unknown;1955;Mid-Century Modern;Germany;This object is a Siemens Rapid, an iconic handheld vacuum cleaner that is symbolic of post-World War II German industrial design.;1-6-2;;;;;;"Cylindrical Shapes; Glossy Surfaces; Chrome"
DDP-0074;Handheld vacuum cleaner;1;6;3;Handstofzuiger;Hoover;Dustette;Blue;;William H. Kitto;1930;Pre-1950;U.S.A.;"The Hoover Dustette is the world's first portable hand-held vacuum cleaner and a milestone in industrial design. In its early years, it was a luxury item; it cost £4.19s.6d at the time, equivalent to over €250 today. The model remained in production with minimal external changes until the 1970s, a testament to the design's longevity.";1-6-3;;;;;;"Cylindrical Shapes; Matt Surfaces; Glossy Surfaces; Chrome"
DDP-0075;Steam iron;1;6;4;Stoomstrijkijzer;Philips ;Mistral 2100;Blue;;Unknown;2000;Digital Era;Netherlands;The Philips Mistral is a steam iron from the early 2000s, designed by the Philips Experience Design team in the Netherlands. The product features a functional design with a pointed tip for precision and an integrated anti-scale system for durability.;1-6-4;;;;;;"Multiple Roundings; Glossy Surfaces; Matte Materials; Transparent Materials"
DDP-0076;Handheld vacuum cleaner;1;6;5;Handstofzuiger;Hoover;Dustette;Brown;;William H. Kitto;1930;Pre-1950;U.S.A.;The Hoover Dustette is the world's first portable hand-held vacuum cleaner and a milestone in industrial design. The model remained in production with minimal external changes until the 1970s, a testament to the design's longevity.;1-6-5;;;;;;"Cylindrical Shapes; Matt Surfaces; Glossy Surfaces; Chrome"
DDP-0077;Handheld vacuum cleaner;1;6;5;Handstofzuiger;PRO-VAC;Car-Vac or similar;Crème;;Unknown;1980;Late Modern;Netherlands;This cordless handheld vacuum cleaner is specifically designed for use in cars, boats, and caravans. Its 1980s design follows the introduction of the first popular cordless handheld vacuums, such as the Black & Decker DustBuster.;1-6-5;;;;;;
DDP-0078;Wall holder for handheld vacuum cleaner;1;6;6;Wandhouder voor handstofzuiger;Unknown;;Crème;;Unknown;1980;Late Modern;Netherlands;This item is a vintage wall mount for a household appliance, made of injection-molded plastic. The mount functions as a functional docking station with a wide base and a round recess for the suction nozzle and charging plug.;1-6-6;;;;;;
DDP-0082;Sled vacuum cleaner;1;6;7;Sledestofzuiger;Excelsior;Type 8100;Grey;;Unknown;1955;Mid-Century Modern;Netherlands;This is a classic example of a canister vacuum cleaner from the mid-20th century. These vacuums were known for their cylindrical shape resting on a metal sled, allowing them to glide easily across the floor.;1-6-7;;;;;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Glossy Surfaces"
DDP-0079;Handheld vacuum cleaner packaging with charger;1;6;8;Handstofzuiger verpakking met oplader;Black & Decker;Spir 2000;Multi;;Unknown;1992;Postmodern;U.S.A.;This is an original box of the Black & Decker Spin 2000 (model HC85), a cordless dustbuster from the early 1990's;1-6-8;;;;;;
