ObjectID;Product (EN);Studio;Vitrine;Position;Product (NL);Brand;Model/Type;Colour;Colour 2;Designer;Year;Era;Country;Technische Beschrijving;Location (studio-vitrine-product);Origin;Photo;Conditie;Opslag (asbest etc.);Value;Drawing Topics
DDP-0080;Digital thermometer;1;6;8;Digitale thermometer;TravelSafe;;White;;Unknown;2010;Digital Era;Netherlands;This digital thermometer is a compact tool that is often used when traveling or for home use to quickly measure body temperature.;1-6-8;;;;;;"Block Shapes; Cylindrical Shapes; Glossy Surfaces; Matte Surfaces; Chrome"
DDP-0081;Vacuum cleaner;1;7;1;Stofzuiger;Siemens-Schuckert;Potos Model G;Yellow;;Unknown;1930;Pre-1950;Germany;This object is an antique vacuum cleaner, manufactured by Siemens-Schuckert. The Protos models were known for their distinctive drum-shaped design and the bright yellow color often seen on later industrial collectibles.;1-7-1;;;;;;"Cylindrical Shapes; Glossy Surfaces"
DDP-0083;Portable vacuum cleaner;1;7;2;Draagbare stofzuiger;Excelsior;;Grey;;Unknown;1955;Mid-Century Modern;Netherlands;This vintage Excelsior sled vacuum cleaner is an iconic piece of post-war Dutch industrial design. It's a sled model, designed to glide across the floor on metal gliders instead of wheels, which were the standard for luxury vacuum cleaners at the time.;1-7-2;;;;;;
DDP-0084;Coal Iron;1;7;3;Kolenstrijkijzer;Unknown;;Brown;;Unknown;1880;Pre-1950;Netherlands;This is an antique cast-iron charcoal or peat iron with a chimney, dating from the 19th century. In the Netherlands, these specific models with a short chimney are also known as Drentse irons, because they were often fueled with peat, which was common in that region.;1-7-3;;;;;;"Block Shapes; Cylindrical Shapes; Singualr Rounding; Matte Surfaces"
DDP-0085;Sled vacuum cleaner;1;7;4;Sledestofzuiger;Electrolux;Model 30 / Model XXX;Blue;;Unknown;1940;Pre-1950;Sweden;This design is an icon in the history of home appliances and is known for its revolutionary design. The Model 30 was one of the first vacuum cleaners to use a disposable paper dust bag, a huge hygienic advancement at the time. Thanks to its robust build quality, many examples are still in use today, more than 70 years later.;1-7-4;;;;;;"Cylindrical Shapes; Glossy Surfaces; Chrome"
DDP-0086;Different vacuum cleaner nozzles;1;7;5;Verschillende stofzuigermonden;Unknown;;Black;;Unknown;1990;Postmodern;;;1-7-5;;;;;;"Cylindrical Shapes; Matte Surfaces"
DDP-0087;Iron;1;7;6;Strijkijzer;Unknown;;Petina;;Unknown;1880;Pre-1950;Germany;This object is an antique box iron (also called a coal iron), a type that was widely produced in the 19th century. It's made of cast iron and contains a compartment for glowing coals which can be opened with the vertical pin at the back.;1-7-6;;;;;;"Multiple Rounding; Chrome"
DDP-0088;Iron;1;7;6;Strijkijzer;Ruton;STY 11;Silver;;R.S. Stokvis & Zonen;1956;Mid-Century Modern;Netherlands;"The Ruton STY 11 is a classic dry iron (without steam) for everyday use. This model is known for its durability. The heavy metal soleplate was a deliberate design choice; the weight of the iron was intended to do most of the work, so the user had to press less hard.";1-7-6;;;;;;
DDP-0089;Iron;1;7;6;Strijkijzer;Unknown;;Petina;;Unknown;1880;Pre-1950;Netherlands;This is an antique brass or copper coal iron with a wooden handle, primarily used in the 19th century. Instead of electricity, the iron was heated by placing live coals in the tray. Openings on the sides provided the necessary airflow to keep the coals burning.;1-7-6;;;;;;
DDP-0090;Iron;1;7;6;Strijkijzer;Unknown;;Petina;;Unknown;1880;Pre-1950;Netherlands;This type of coal iron is very heavy (often between 3 and 5 kilos) because it's made entirely of solid cast iron. It has a chimney at the back to vent the smoke from the glowing coals.;1-7-6;;;;;;
DDP-0091;Iron;1;7;6;Strijkijzer;Unknown;;Petina;;Unknown;1880;Pre-1950;Netherlands;These types of cast iron coal irons were widely used from the mid-19th century until the First World War. The jute wrapping is not a factory standard, but an authentic customization made by the user to hold the metal handle, which could become extremely hot.;1-7-6;;;;;;
DDP-0092;Sled vacuum cleaner;1;7;7;Sledestofzuiger;Ruton;R10;Brown;;Rudolf Blik;1955;Mid-Century Modern;Netherlands;The Ruton R10 is an iconic model from the history of Dutch household appliances. This model was the direct successor to the earlier S-series and remained one of the flagship models of the Rudolf Blik factory in The Hague until around 1957.;1-7-7;;;;;;
DDP-0093;Iron;1;7;8;Strijkijzer;Unknown;;Petina;;Unknown;1880;Pre-1950;Netherlands;This is an antique cast-iron charcoal iron that needs to be filled with glowing coals to generate heat. It has air holes on the sides, and the top can be flipped open to fill the charcoal compartment. Such irons were common until about 1950, before electric irons became the norm.;1-7-8;;;;;;
DDP-0094;Vacuum cleaner;1;8;1;Stofzuiger;Excelsior;650;Blue;;Unknown;1975;Late Modern;Netherlands;This vintage appliance is an Excelsior vacuum cleaner, a brand with a deep-rooted history in Dutch industry. The suitcase model, or portable vacuum cleaner, was popular because of its compactness and ease of storage, unlike the larger canister vacuums.;1-8-1;;;;;;
DDP-0095;Sled vacuum cleaner;1;8;2;Sledestofzuiger;Holland Electro (HE);E4;Turqoise;;Unknown;1955;Mid-Century Modern;Netherlands;"This vacuum cleaner is a classic ""sled"" model with a metal base that allowed it to glide across the floor. This type of vacuum cleaner was often manufactured in Rotterdam during the 1950s and 1960s. Such vacuum cleaners were innovative at the time because they could both suck and blow by connecting the hose to the opposite end.";1-8-2;;;;;;
DDP-0096;Information booklet;1;8;3;Informatieboekje;Siemens;Flormatic;White;;Unknown;1985;Late Modern;West Germany;"This is an informational/promotional document for the Siemens Flormatic, a multifunctional suction and brush nozzle (also called a ""Saug-Kehr-Bürste"") for vacuum cleaners.";1-8-3;;;;;;
DDP-0097;Vacuum cleaner;1;8;4;Stofzuiger;Philips ;HZ 4820;Grey;;Unknown;1974;Late Modern;Netherlands;"In the 1970s, these ""tank"" models were known for their durability and were often considered appliances that could last a lifetime. The design, with its gray housing, blue head, and red stripe with the logo, is highly characteristic of Philips' visual identity in those days.";1-8-4;;;;;;
DDP-0098;Iron;1;8;4;Strijkijzer;Unknown;;Silver;;Unknown;1920;Pre-1950;Netherlands;"This specific model dates from the transition from the classic iron to more modern appliances. Between 1910 and 1930, electric irons were often not yet plugged into an electrical outlet, but instead connected directly to a light bulb socket via a special plug (a ""crook"").";1-8-4;;;;;;
DDP-0099;Iron;1;8;4;Strijkijzer;Underwood;;Petina;;Unknown;1920;Pre-1950;Netherlands;;1-8-4;;;;;;
DDP-0100;Travel iron with packaging;1;8;4;Reisstrijkijzer met verpakking;Cherry;B-Type;Turqoise;;Unknown;1965;Mid-Century Modern;Japan;This is the exact same model travel iron with foldable handle, as sold by more well-known brands like Juliette and Valiant. In the 1960s and 1970s, factories in Japan and Taiwan mass-produced these irons, after which they were sold by various importers under their own names.;1-8-4;;;;;;
DDP-0101;Iron;1;8;4;Strijkijzer;Ruton;;Petina;;Unknown;1945;Pre-1950;Netherlands;This is a vintage Ruton electric iron with a metal frame and electrical connection, typical of mid-20th-century appliances. It has a classic triangular metal soleplate with a dark-colored, ergonomically shaped Bakelite handle.;1-8-4;;;;;;
DDP-0102;Iron;1;8;4;Strijkijzer;Morphy-Richards;CA75;Silver;;Donal Morphy & Charles Richards;1954;Mid-Century Modern;England;"This iron is considered a classic example of post-war British modernism. It is included in the collection of the Museum of Design in Plastics (MoDiP) for its innovative use of compression-molded Bakelite for the handle. It was one of the first affordable irons with a reliable thermostatic control (the ""Auto-Control""), a major advance for households at the time. The CA75 is known for its robustness; many examples are still in working order after 70 years.";1-8-4;;;;;;
DDP-0103;Iron;1;8;4;Strijkijzer;Morphy-Richards;CA75;Silver;;Donal Morphy & Charles Richards;1954;Mid-Century Modern;England;"This iron is considered a classic example of post-war British modernism. It is included in the collection of the Museum of Design in Plastics (MoDiP) for its innovative use of compression-molded Bakelite for the handle. It was one of the first affordable irons with a reliable thermostatic control (the ""Auto-Control""), a major advance for households at the time. The CA75 is known for its robustness; many examples are still in working order after 70 years.";1-8-4;;;;;;
DDP-0104;Travel iron;1;8;5;Reisstrijkijzer;Unknown;;Green;;Unknown;1940;Pre-1950;England;"This item is a vintage electric travel iron, also known as a ""Piccolo"" or produced by brands like Arc or Chesterton. These models were primarily produced between 1930 and 1950. They were popular at a time when electric ironing was becoming modern, but appliances still had to be compact for travelers.";1-8-5;;;;;;
DDP-0105;Travel iron;1;8;5;Reisstrijkijzer;Unknown;;Silver;;Unknown;1925;Pre-1950;Germany;This is an early electric travel iron from the 1920s–1935 period. It's a compact traveler's design with a rattan-wrapped handle for heat insulation. The iron has a 150-watt output and is dual-voltage (110/220V), which was essential for international travel at the time.;1-8-5;;;;;;
DDP-0106;Vacuum cleaner;1;8;6;Stofzuiger;Holland Electro (HE);HE 3000;Yellow;;Unknown;1977;Late Modern;Netherlands;This item is a vintage Holland Electro 3000 vacuum cleaner. These vacuum cleaners were known for their robust construction and sold for around 439 guilders at the time. This particular example is a collector's item due to its nostalgic value and iconic retro design.;1-8-6;;;;;;
DDP-0107;Handheld vacuum cleaner;1;8;6;Handstofzuiger;Rio;Sauger;Orange;;Unknown;1972;Late Modern;West Germany;The item in the photo is a vintage handheld vacuum (also called a dustbuster or table vacuum) from the 1970s. This particular model was popular as an accessory for cars or for small household use on tables and desks. The futuristic, rounded design and bright orange color were typical of the optimistic design style of the 1970s.;1-8-6;;;;;;
DDP-0108;Toy iron;1;8;7;Speelgoedstrijkijzer;Unknown;;Red;;Unknown;1960;Mid-Century Modern;Germany;This item is a vintage toy iron, also called a miniature iron, that probably dates from the 1950s or 1960s. Such irons were also produced as decorative collectibles.;1-8-7;;;;;;
DDP-0109;Steam iron;1;8;7;Stoomstrijkijzer;Moulinex;VarioJet Plus 3200;White;;Unknown;1995;Postmodern;France;The Moulinex Variojet Plus 3200 is an iconic steam iron that symbolizes European home appliances of the 1990s. Its design is typical of the brand's functional, ergonomic style from that era, with its signature orange accent buttons.;1-8-7;;;;;;
DDP-0110;Vacuum cleaner;1;9;1;Stofzuiger;F.A.M. Skyline;Electronic FC 4200;Crème;Brown;Unknown;1985;Late Modern;Netherlands;The Skyline series was known for its sleek, functional design. Its design reflects the transitional period in which household appliances became more compact and were equipped with more modern electronic functions, such as the suction power slider seen on this model.;1-9-1;Unknown;Picture;Goed;;;
DDP-0111;Handheld vacuum cleaner;1;9;2;Handstofzuiger;Siemens;Rapid VAt93;Red;Grey;Unknown;1960;Mid-Century Modern;Germany;The Siemens Rapid is an iconic series of handheld vacuum cleaners with a history dating back to the first lightweight models from 1935. In the 1970s, the Rapid line was very popular and appeared in various striking colors that reflected the spirit of the times.;1-9-2;Unknown;Picture;Redelijk;;;
DDP-0112;Vacuum cleaner;1;9;2;Stofzuiger;Siemens-Schuckert;Protos;Green;;Unknown;1930;Pre-1950;Germany;This antique vacuum cleaner is a Siemens-Schuckert Protos boiler vacuum from the early 20th century. The object is made of green enameled iron with a wooden handle.;1-9-2;Unknown;Picture;Redelijk;;;
DDP-0113;Iron;1;9;3;Strijkijzer;Philips ;HA2751;Black;Silver;Unknown;1967;Mid-Century Modern;Netherlands;This specific vintage model is a prime example of Dutch industrial design from its period. Although Philips is now a global concern with production and design centers in various countries, the designs for such classic household appliances came directly from the Dutch design departments at the time.;1-9-3;Unknown;Picture;Goed;;;
DDP-0114;Vacuum cleaner;1;9;4;Stofzuiger;Siemens;Super 32;Orange;Silver;Unknown;1973;Late Modern;Germany;This specific model stands out due to its Space Age aesthetic, which was very popular at the time. The vertical design was an innovation to save space in smaller households.;1-9-4;Unknown;Picture;Redelijk;;;
DDP-0115;Iron;1;9;5;Strijkijzer;Continental;;Black;White;Unknown;1955;Mid-Century Modern;Netherlands;This is a vintage Continental electric iron, a collector's item with a distinctive retro design. The appliance features a metal soleplate and a black and white Bakelite housing.;1-9-5;Unknown;Picture;Goed;;;
DDP-0116;Iron;1;9;5;Strijkijzer;Inventum;253 Serie;Silver;Black;Unknown;1940;Pre-1950;Netherlands;The device has a heavy, chrome-plated or nickel-plated soleplate that retains heat well. The small black knob on the top (often with a scale from 1 to 5 or with plus/minus signs) is used for temperature control.;1-9-5;Unknown;Picture;Goed;;;
DDP-0117;Travel iron;1;9;6;Reisstrijkijzer;Novol;Holiday;Silver;Black;Unknown;1965;Mid-Century Modern;France;This object  is a vintage travel iron, a compact and foldable model that was popular in the 1960s and 70s. It is recognizable by the chrome-plated casing and the black Bakelite handle that folds flat for storage.;1-9-6;Unknown;Picture;Goed;;;
DDP-0118;Iron;1;9;6;Strijkijzer;Termozeta;Baby 124;Black;White;Unknown;1975;Late Modern;Italy;"This specific model was intended as a ""mignon"" (miniature) travel iron and is today a beloved object among collectors of Italian vintage design.";1-9-6;Unknown;Picture;Goed;;;
DDP-0119;Iron;1;9;6;Strijkijzer;Philips ;HD 1126;Black;Green;Unknown;1970;Late Modern;Netherlands;This model is a vintage iron that was produced by Philips, with advertisements dating back to the 1970s. It was promoted at the time as a lightweight aluminium iron.;1-9-6;Unknown;Picture;Goed;;;
DDP-0120;Iron;1;9;6;Strijkijzer;Philips ;HA 2751;Brown;Silver;Unknown;1957;Mid-Century Modern;Netherlands;This iconic dry iron is known for its typical 1950s and 60s design with a dark brown (bakelite) housing and a chrome-plated soleplate. In 2006, this model was even nominated for the longlist of the best Dutch design of the past hundred years.;1-9-6;Unknown;Picture;Goed;;;
DDP-0121;Iron with packaging;1;9;7;Strijkijzer met verpakking;General Electric;3 FD 161;Silver;Black;Unknown;1950;Mid-Century Modern;U.S.A.;The General Electric 3 FD 161 is a vintage electric iron from the 1950s. This specific model is known for its robust mid-century design and was a popular household appliance at the time.;1-9-7;Unknown;Picture;Goed;;;
DDP-0122;Vacuum cleaner with operating instructions and hose;1;9;7;Stofzuiger met gebruiksaanwijzing en slang;Miele;Deluxe S220;Yellow;Black;Unknown;1985;Late Modern;Germany;This vacuum cleaner in a striking yellow color is now considered a collector's item due to its unique retro design from the 70s/80s.The Deluxe S 220 is an iconic piece of industrial design that is representative of the reliability for which the brand is known.;1-9-7;Unknown;Picture;Redelijk;;;
DDP-0123;Vacuum cleaner mouth;1;9;8;Stofzuigermond;Siemens;Polymatic;Red;White;Unknown;1975;Late Modern;Germany;The design of the Siemens Polymatic (as shown in the photo) is a classic example of functional industrial design from the 1970s and 1980s. During this period, the emphasis at Siemens (part of the BSH Group) was on sustainability, modularity, and ease of use.;1-9-8;Unknown;Picture;Redelijk;;;
DDP-0124;Vacuum cleaner;1;10;1;Stofzuiger;Miele;Turbo Team;Crème;Black;Unknown;2015;Digital Era;Germany;The Miele Turbo Team is known for durability and strong suction power. It's equipped with a dust bag system, which is more hygienic when emptying than bagless models and typically features multiple suction settings and special attachments, such as a turbo brush for pet hair.;1-10-1;Unknown;Picture;Goed;;;
DDP-0125;Vacuum cleaner;1;10;2;Stofzuiger;Holland Electro (HE);Sniffy;Green;Crème;Unknown;1950;Mid-Century Modern;Netherlands;"The Sniffy was a small ""stick vacuum"" that was very popular in the Netherlands in the 1950s and 1960s. It was a handy model, ideal for stairs, furniture, and small apartments.";1-10-2;Unknown;Picture;Redelijk;;;
DDP-0126;Vacuum cleaner;1;10;3;Stofzuiger;Electrolux;Z245;Brown;Silver;Unknown;1979;Late Modern;Sweden;Unique to this model is that it can not only vacuum but also blow. This was often used for inflating air mattresses or quickly defrosting freezers. The vacuum cleaner has a power of approximately 750 Watts, which was considered very powerful at the time. Originally, this model came with a braided hose, an aluminum tube, and various brown nozzles, including an automatic combination nozzle for carpets and hard floors.;1-10-3;Unknown;Picture;Goed;;;
DDP-0127;Handheld vacuum cleaner with holder;1;10;4;Handstofzuiger met houder;Electrolux;Cleany ZB 216;Crème;Grey;Unknown;1980;Late Modern;Sweden;"the Electrolux Cleany is a cordless, rechargeable handheld vacuum cleaner that came with a matching wall mount. In the Netherlands and Belgium, this type of compact, cordless vacuum cleaner is commonly known as a ""kruimeldief"" (""crumb catcher""). The concept was originally popularized by the Black & Decker ""Dustbuster,"" which came onto the market in 1979.";1-10-4;Unknown;Picture;Redelijk;;;
DDP-0128;Handheld vacuum cleaner;1;10;4;Handstofzuiger;AFK;AK-2.2;Crème;Green;Unknown;2000;Digital Era;Germany;The design of the AFK AK-2.2 is characteristic of the functional and affordable consumer electronics from the transitional period between the 1990s and 2000s. A key design featureis its streamlined, teardrop-shaped design. The wide suction nozzle flows smoothly into a narrow handle.;1-10-4;Unknown;Picture;Goed;;;
DDP-0129;Iron;1;10;5;Strijkijzer;Philips ;HD 1124;Orange;Silver;Knut Yran;1973;Late Modern;Netherlands;This iconic Philips iron, the HD1124, is a prime example of Dutch industrial design from the post-war reconstruction period and the subsequent decades. The design originates from the Philips Corporate Industrial Design Centre (CIDC) in Eindhoven. During that period, this department was led by the renowned Norwegian designer Knut Yran.;1-10-5;Unknown;Picture;Redelijk;;;
DDP-0130;Iron;1;10;6;Strijkijzer;Rowenta;E5762S;Brown;White;Unknown;1965;Mid-Century Modern;Germany;This specific model dates from the 1960s or early 1970s. The design with a Bakelite handle and chrome housing is typical of that period. Rowenta's design department at the time was influenced by streamline aesthetics and the functional German design school.;1-10-6;Unknown;Picture;Redelijk;;;
DDP-0131;Iron;1;10;6;Strijkijzer;Philips ;HD 1115 Y;White;Silver;Knut Yran;1975;Late Modern;Netherlands;"This design reflects the transition from heavy, metal irons to lighter models with plastic (bakelite) handles and a focus on ergonomics and ease of use. The ""y"" in the model number often referred to a specific regional version or a minor revision in the production process (such as indicator light colour or the wiring), while the basic functionality remained the same as the standard HD 1115. ";1-10-6;Unknown;Picture;Slecht;;;
DDP-0132;Iron;1;10;6;Strijkijzer;Philips ;HA 2752;Black;Silver;Unknown;1975;Late Modern;Netherlands;"The HD 2752 series was primarily in production during the late 1970s and the 1980s. It is a classic example of the ""heavy"" dry irons that were the standard in European households at the time. Philips household appliances from this era were often developed by the in-house design team in Eindhoven.";1-10-6;Unknown;Picture;Redelijk;;;
DDP-0133;Iron;1;10;6;Strijkijzer;Philips ;HD 1206;Black;White;Unknown;1967;Mid-Century Modern;Netherlands;"The model is part of the ""Millionaire"" or ""Popular"" series, known for its heavy-duty build, featuring a polished chrome or stainless steel soleplate and a high-impact black plastic handle. During this era, Philips' domestic appliances were heavily influenced by their internal Corporate Industrial Design (CID) group, which prioritized Sense and Simplicity.";1-10-6;Unknown;Picture;Redelijk;;;
DDP-0134;Vacuum cleaner;1;10;7;Stofzuiger;Excelsior;8170;Yellow;White;Unknown;1976;Late Modern;Netherlands;The Excelsior 8170 (also known as Signaal) is an iconic vintage vacuum cleaner that was produced around 1976. This specific model is known for its striking vertical design and the typical mustard yellow color that was very popular for household appliances at the time. The device was often supplied with various attachments, including a flexible hose that connects at the top.;1-10-7;Unknown;Picture;Redelijk;;;
DDP-0135;Vacuum cleaner;1;10;8;Stofzuiger;Miele;Deluxe S200;Turqoise;Crème;Unknown;1974;Late Modern;Germany;" This an ""all-in-one"" device was a unique concept that could stand upright while the hose remained connected. For its time, the suction power (often around 700-1000 Watts) was very high. This blue and white color combination pictured is the most iconic version of the ""De Luxe"" model.";1-10-8;Unknown;Picture;Goed;;;
DDP-0136;Various vacuum cleaner nozzles;1;10;8;Verscheidende stofzuigermonden;Unknown;Various;Multi;;Unknown;;;;"These objects can serve as excellent subjects for practicing several foundational drawing skills, including: geometric shape analysis; perspective and ellipses;
material and texture rendering.";1-10-8;Unknown;Picture;Goed;;;
